genre,album_name,album_id,release_date,total_tracks,popularity,artists_album,artist_followers,artist_popularity,artist_genres
rock,V,2Auw0pTT6EcQdvHNimhLQI,2014-09-02,12,78,Maroon 5,45461795,89,pop
rock,Overexposed Track By Track,6ijGiBcBfUwkoyHn5VUHU2,2012-01-01,33,77,Maroon 5,45461795,89,pop
rock,Overexposed (Deluxe),6XYL7jVgFaxD1X7F8IMO2b,2012-01-01,15,47,Maroon 5,45461795,89,pop
rock,Overexposed,3r3flRqc5pQozLGZ3GyqTe,2012-01-01,12,41,Maroon 5,45461795,89,pop
rock,Hands All Over (Revised International Standard version),1snrPQMoTrBsKl73wzSxbn,2010,14,70,Maroon 5,45461795,89,pop
rock,Hands All Over (Revised International Deluxe),3gjJTUMI9q6ReSe0z7gyjp,2010,19,48,Maroon 5,45461795,89,pop
rock,Cama Incendiada (2019 Remasterizado),5ZAmo9FNjvOQfuLaeY45Qg,2015-04-21,11,32,Maná,13351466,82,"rock en español, latin rock, mexican rock, latin pop"
rock,Cama Incendiada,36lGlwe75fTsr4CLVlfYQa,2015-04-21,11,62,Maná,13351466,82,"rock en español, latin rock, mexican rock, latin pop"
rock,Você É Minha Religião: O Melhor Do Maná (Deluxe Version),0T6xjJtpq2ZFsGb8WVBPfO,2012-10-26,18,50,Maná,13351466,82,"rock en español, latin rock, mexican rock, latin pop"
rock,Você É Minha Religião: O Melhor Do Maná,5WAaAoLR8nGFRKoUSRq3wU,2012-10-26,14,37,Maná,13351466,82,"rock en español, latin rock, mexican rock, latin pop"
rock,Exiliados En La Bahía: Lo Mejor De Maná (Edición Deluxe),2UPBr4XNMQ4vHHT0F4TxgR,2012-08-24,32,52,Maná,13351466,82,"rock en español, latin rock, mexican rock, latin pop"
rock,Drama Y Luz Edición Deluxe,6JXg4yfjaH0JIZBofuVS2u,2011-11-15,16,58,Maná,13351466,82,"rock en español, latin rock, mexican rock, latin pop"
rock,Drama Y Luz,1sqgDb8MhdXgKAdGGLny9g,2011-04-11,12,61,Maná,13351466,82,"rock en español, latin rock, mexican rock, latin pop"
rock,Drama Y Luz (2020 Remasterizado),6S9XDiLlrQLGYpxmalrcuN,2011,14,48,Maná,13351466,82,"rock en español, latin rock, mexican rock, latin pop"
rock,Live In Paris '79,2M8h9sC6Ffu9kz7ZHWgHcy,2011,22,41,Supertramp,3923465,73,"progressive rock, classic rock"
rock,The Pale Emperor,0F9brQbQ3vLDYyTElx9f9n,2015-01-19,13,50,Marilyn Manson,4924723,75,"industrial metal, industrial rock, industrial, metal, nu metal"
rock,Born Villain,3LHOep5q4yGo96ui8fpSST,2012-04-29,14,38,Marilyn Manson,4924723,75,"industrial metal, industrial rock, industrial, metal, nu metal"
rock,The Devil Put Dinosaurs Here,0uz3QSBmc0lTYVo2svp4mB,2013-05-28,12,55,Alice In Chains,6131966,78,"grunge, post-grunge"
